,,,,,
기준일,2024-12-02,,,,
품목,제조순서,,정배치(g),,
에그녹,1. 우유,,2300,,에그녹 제조방법
,2. 난황액,,1000,,1. 우유220g +난황액80g +황설탕25g +넛맥1.5g 넣습니다.
,3. 황설탕,,315,,2. 핸드블랜드로 갈아줍니다.
,4. 넛맥,,12,,3. 통카빈0.1g 넣어줍니다.
,핸드블랜더,,,,4. 가니쉬를 올려줍니다.
,5.통카빈,,,,5. 기호에 맞게 꼬냑 7g을 넣어줍니다.
,6. 가니쉬,,,,
,7. 꼬냑,1인분 7g,,,
품목,제조순서,,정배치(g),,
뱅쇼(논알콜), 1. 포도주스 ,,3000,,뱅쇼(논알콜)제조방법
, 2. 콩포트 ,냉동딸기:설탕 2:1,400,,1. 포도주스 300g +콩포트50g(냉동딸기1:설탕1 비율) +딸기퓨레20g +레몬즙10g +계피2g +정향0.8g + 로즈마리1g  넣어줍니다.
,3. 딸기퓨레,,200,,2. 센불에 1-2분 끓이고 10-15분 끓여줍니다.
,4. 레몬즙,,80,,3. 가니쉬 올려서 고객에게 제공합니다.
,5. 계피 ,,20,,
,6. 정향,,,,
,,,,,
,7. 로즈마리 ,,8,,
,8. 가니쉬,,,,
품목,제조순서,,정배치(g),,
뱅쇼(알콜), 1. 레드와인,,3000,,뱅쇼(알콜)제조방법
, 2. 콩포트,냉동딸기:설탕 2:1,600,,1. 레드와인 +콩포트(냉동딸기2:설탕1 비율) +딸기퓨레 +레몬즙 +계피 +정향 +로즈마리  넣어줍니다.
,3. 딸기퓨레,,300,,2. 센불에 1-2분 끓이고 약불10분 끓여줍니다.
,4. 레몬즙,,80,,3. 로즈마리  넣어줍니다.
,5. 계피,,20,,3. 가니쉬 올려서 고객에게 제공합니다.
,6. 정향,,,,
,7. 백설탕,,60,,
,8. 로즈마리,,8,,
,9. 가니쉬,,,,
품목,제조순서,,정배치(g),,
밤스프,1. 우유,,2500,,밤스프 제조방법
,2. 고구마 필링,,500,,1. 우유 +고구마필링 +밤페이스트 +크림치즈 +토피넛파우더 +소금 넣어줍니다.
,3. 밤페이스트,,400,,2. 핸드블랜드로 갈아줍니다.
,4. 크림치즈,,300,,3. 가니쉬 올려서 고객에게 제공합니다.
,5. 토피넛 파우더,,150,,
,6. 소금,,3~4,,
,핸드블랜더,,,,
,7. 가니쉬,,,,
